Student Id No,Name,Major,Freshman Year,Hometown,State,DOB,Gender,Semester,,
885997,Carolina Elisa Navarro García,LAF,2013,Los Mochis,Sin,19-Jan-95,F,4,,
1052550,Alberto Mario Zabaleta Arizmendi,IIS,2010,Los Mochis,Sin,7-Sep-92,M,8,,
570096,Humberto Zabaleta Etxeberría,IQA,2011,Monterrey,NL,18-Jun-95,M,4,,
397035,Elena Salaverri Etxeberría,LAF,2009,Tuxpan,Ver,29-May-93,F,8,,
352955,Roberto Rodríguez Treviño,LAF,2008,Mérida,Yuc,8-Jul-94,M,6,,
505722,Gema Cantú Sánchez,LED,2012,Culiacán,Sin,23-Nov-94,F,5,,
582320,Alejandra Sánchez Zabaleta,LEM,2013,Tijuana,BC,4-Feb-94,F,6,,
883054,Rafael Gabriel Salaverri Rodríguez,LAF,2013,Monterrey,NL,11-May-94,M,6,,
951813,Oscar Benito Garza Aramburu,IQA,2013,Monterrey,NL,17-Jul-93,M,8,,
419588,Gema Salaverri Villarreal,LAF,2009,Monterrey,NL,20-Jul-92,F,10,,
502343,Gema Alejandra Aristegui Sánchez,LAF,2009,Tampico,Tamps,1-May-95,F,5,,
789882,Humberto Basaguren Fernández,LCPF,2012,Manzanillo,Col,2-Dec-93,M,7,,
977414,Marco Arturo Navarro Cárdenas,IMT,2013,Tlaxcala,Tlax,6-Dec-92,M,8,,
481266,Carlos Cantú Martínez,LEM,2010,Monterrey,NL,28-Dec-94,M,4,,
584501,Erika Lozano Martínez,LED,2010,Orizaba,Ver,23-Aug-92,F,8,,
939769,Andrés Daniel Urrutia Aramburu,LAF,2008,Monterrey,NL,22-Oct-92,M,9,,
1055072,Elena Sandra Aramburu Zárate,IMT,2009,Mazatlán,Sin,4-Dec-93,F,6,,
456990,Carmen Aristegui Zárate,IQA,2009,Toluca,Edomex,23-Sep-94,F,4,,
1131748,Sofía Treviño Salaverri,LAF,2010,Durango,Dgo,6-May-94,F,6,,
539302,Priscila Esther Villarreal Aramburu,LCPF,2008,Monterrey,NL,7-May-95,F,4,,
594685,Nadia Graciela Zabaleta Garza,IQA,2013,Pachuca,Hgo,2-May-93,F,8,,
722546,Carlos Oscar Sánchez Ibarguengoitia,LAF,2010,Tuxpan,Ver,21-Jun-93,M,8,,
528076,Elisa Catalina Navarro Villarreal,LAF,2008,Chihuahua,Chih,14-Apr-93,F,8,,
350800,Carmen Goicoetxea Garza,LAF,2013,Toluca,Edomex,25-Nov-92,F,8,,
922580,Diana Nidia Treviño Martínez,LAF,2010,Mérida,Yuc,22-Jan-93,F,8,,
656893,Carlos Arturo Urrutia Sánchez,LAF,2013,Mérida,Yuc,14-May-95,M,4,,
745471,Graciela Rodríguez Martínez,LAF,2008,Pachuca,Hgo,7-Jul-95,F,4,,
959788,Gabriel Marco Juárez Fernández,IQA,2010,Pachuca,Hgo,28-Aug-92,M,8,,
763796,Mariángela Elisa Cárdenas Hernandez,LAF,2009,Tlaxcala,Tlax,21-Feb-95,F,4,,
941021,Berenice Marián Etxeberría Villarreal,IQA,2013,Monterrey,NL,8-May-93,F,8,,
964096,Marco Andrés González Juárez,LED,2008,Monterrey,NL,22-Mar-93,M,9,,
1040256,Roberto César Zárate Juárez,LAF,2008,Monterrey,NL,3-May-95,M,4,,
543825,Gabriela Rodríguez Villarreal,LAF,2010,León,Gto,29-Oct-94,F,4,,
714983,Nadia Ochoa Cantú,IMT,2009,León,Gto,7-Feb-95,F,4,,
981354,Francisco Arizmendi Hernandez,LAF,2009,Saltillo,Coah,3-Jul-95,M,4,,
951458,Sandra García Ochoa,IMT,2009,Acapulco,Gro,12-Nov-94,F,4,,
443088,Karla Zabaleta Azcúnaga,LCPF,2011,Puebla,Pue,27-Dec-93,F,6,,
424093,Oscar Lozano Sánchez,LEM,2008,Guanajuato,Gto,11-Apr-94,M,7,,
513781,Elisa Zabaleta Hernandez,LAF,2009,Toluca,Edomex,20-Feb-95,F,4,,
933151,Ángel Manuel Treviño García,LAF,2012,Chihuahua,Chih,23-Jul-93,M,8,,
480946,Marco Villarreal Villarreal,LEM,2013,Tuxpan,Ver,31-May-94,M,6,,
822008,Karla Pamela Etxeberría Azcúnaga,LIN,2010,Monterrey,NL,15-Jan-95,F,5,,
749648,Marissa Garza García,LAF,2013,León,Gto,11-Oct-94,F,5,,
615612,Ruth Andrea Lozano Rodríguez,LAF,2013,Minatitlán,Ver,31-Mar-94,F,7,,
1028375,Cecilia Sánchez Ochoa,LIN,2009,León,Gto,9-Apr-94,F,6,,
1082087,Carmen Laura Rodríguez Lozano,IIS,2008,Chihuahua,Chih,12-Apr-94,F,7,,
1119882,Ludivina Ochoa Sánchez,LAF,2008,Orizaba,Ver,25-Oct-93,F,6,,
918920,Rodrigo Villarreal Martínez,IMT,2012,Monterrey,NL,23-Jul-94,M,7,,
358819,Ángel Basaguren Goicoetxea,LAF,2012,Monterrey,NL,12-Apr-93,M,9,,
832767,Priscila Zárate Lozano,LED,2013,Tapachula,Chis,7-Dec-92,F,8,,
993516,José Hernandez Zabaleta,IIS,2011,Morelia,Mich,17-Nov-92,M,8,,
716422,Luis González Navarro,LAF,2008,Culiacán,Sin,21-Nov-94,M,4,,
1066842,Antonio Martínez Salaverri,LAF,2013,Chihuahua,Chih,20-Dec-93,M,6,,
513824,Graciela Cárdenas Salaverri,LAF,2012,Hermosillo,Son,4-Jul-95,F,4,,
958057,Roberto Andrés Eskauriatza Zabaleta,LAF,2012,Monterrey,NL,18-Jan-95,M,4,,
1095231,Fátima María Basaguren Ibarguengoitia,LAF,2012,Orizaba,Ver,5-Sep-92,F,9,,
1087793,Ángel Salaverri Goicoetxea,IIS,2011,Cuernavaca,Mor,3-Aug-94,M,6,,
1011703,Ruth Cantú García,LCPF,2011,Mérida,Yuc,25-Jul-92,F,11,,
1016228,David Gerardo Zabaleta Juárez,LAF,2013,Tampico,Tamps,4-Feb-95,M,5,,
1083505,Gerardo Benito Hernandez Etxeberría,LEM,2013,Pachuca,Hgo,18-Jul-94,M,6,,
772695,Manuel Goicoetxea Aristegui,LIN,2012,Monterrey,NL,16-Feb-93,M,8,,
383590,José Treviño Sánchez,LAF,2008,Chihuahua,Chih,19-Nov-94,M,4,,
1134519,Alejandra Elena González Navarro,LIN,2012,Monterrey,NL,8-Jul-95,F,4,,
470167,Carolina Carmen Urrutia Urrutia,LEM,2010,Toluca,Edomex,11-Feb-93,F,8,,
565103,Carolina Nidia Salaverri González,LCPF,2008,Culiacán,Sin,27-Oct-94,F,5,,
608277,Dafne Salaverri Goicoetxea,IQA,2012,Chihuahua,Chih,6-Jan-95,F,5,,
397335,Alejandro Gabriel Ochoa Azcúnaga,LCPF,2009,Chihuahua,Chih,30-Mar-95,M,4,,
685868,Nadia Hernandez Goicoetxea,IMT,2008,Monterrey,NL,1-Aug-93,F,9,,
670404,Ruth Arizmendi Treviño,LAF,2010,Guanajuato,Gto,2-Dec-92,F,8,,
352616,Manuel José Arizmendi Rodríguez,LED,2013,Tijuana,BC,30-Sep-92,M,8,,
442736,Ernesto Horacio Salaverri Sánchez,LAF,2008,Pachuca,Hgo,30-May-95,M,4,,
959908,Elisa Catalina Ibarguengoitia Azcúnaga,LCPF,2010,León,Gto,19-Nov-94,F,4,,
421533,Sandra Gabriela Arizmendi Garza,LEM,2010,Manzanillo,Col,12-May-94,F,6,,
501143,Gabriel Ricardo Martínez Juárez,IQA,2009,Monterrey,NL,18-Sep-93,M,6,,
1127242,Priscila Hernandez González,LIN,2013,Toluca,Edomex,8-Jun-95,F,4,,
472600,Sandra Fátima Rodríguez Goicoetxea,LED,2013,Pachuca,Hgo,12-Jan-95,F,4,,
489883,Mario Zárate Aristegui,LAF,2011,Pachuca,Hgo,1-Jun-95,M,4,,
1082236,Nadia Diana Salaverri Lozano,LIN,2013,Morelia,Mich,31-May-95,F,4,,
833823,David César Salaverri Zabaleta,IIS,2009,Veracruz,Ver,12-Jul-95,M,4,,
995645,Fernando Zabaleta Urrutia,LAF,2008,Monterrey,NL,19-May-93,M,9,,
603493,Rafael Manuel Martínez Villarreal,LIN,2009,Chihuahua,Chih,15-Sep-94,M,4,,
875884,Ernesto José García Aristegui,IIS,2008,Orizaba,Ver,14-Aug-92,M,10,,
928111,Valeria Juárez Fernández,LED,2010,Saltillo,Coah,19-Jul-93,F,8,,
1111357,Ernesto Horacio Goicoetxea Hernandez,LAF,2010,Monterrey,NL,9-Dec-93,M,6,,
763686,Esther Sofía Juárez Salaverri,LIN,2011,Manzanillo,Col,14-Apr-95,F,5,,
1096553,Roberto Jorge García Cantú,LAF,2013,Culiacán,Sin,23-Jul-93,M,8,,
1015085,Diana Esther Ochoa Etxeberría,IIS,2012,Mexicali,BC,4-May-95,F,4,,
370385,Horacio Zárate Salaverri,IMT,2012,Monterrey,NL,24-Mar-93,M,8,,
990730,David Hernandez Ochoa,IMT,2009,Tapachula,Chis,31-May-95,M,5,,
570404,Carmen Sofía Juárez Cantú,LED,2011,Manzanillo,Col,4-Dec-92,F,8,,
989367,Diana Teresa Ibarguengoitia Salaverri,LEM,2008,Chihuahua,Chih,10-Oct-94,F,4,,
816356,Luis Ángel Ibarguengoitia Urrutia,LED,2011,Pachuca,Hgo,5-Jul-93,M,8,,
861853,Priscila Elena Urrutia Zárate,LAF,2013,Monterrey,NL,16-Aug-94,F,4,,
681945,Sofía Gabriela García Ochoa,LCPF,2011,Acapulco,Gro,11-Jul-95,F,4,,
773001,Laura Eskauriatza Azcúnaga,IIS,2012,Monterrey,NL,21-Mar-94,F,6,,
616761,Ernesto Goicoetxea Juárez,IIS,2010,Monterrey,NL,9-Feb-94,M,6,,
779816,Erika Aramburu Ibarguengoitia,LEM,2013,Monterrey,NL,10-Jul-95,F,4,,
374289,Silvia Basaguren Treviño,IIS,2010,Los Mochis,Sin,25-Aug-92,F,8,,
616197,Gonzalo Daniel Goicoetxea Cantú,LIN,2010,Morelia,Mich,22-Mar-93,M,8,,
473640,Luis Francisco Cárdenas Etxeberría,LAF,2013,Zacatecas,Zac,1-May-93,M,8,,
818765,Paola Valeria Sánchez García,LED,2013,Monterrey,NL,7-Oct-92,F,8,,
944923,Cecilia Sandra Arizmendi Garza,IQA,2008,Mérida,Yuc,26-Nov-94,F,4,,
530164,Deyanira Aramburu Ochoa,LAF,2011,Tuxpan,Ver,15-Jun-95,F,4,,
577908,David Fernando Eskauriatza Goicoetxea,LED,2010,Culiacán,Sin,18-Feb-94,M,6,,
1072714,Rodolfo Cárdenas Rodríguez,LAF,2012,Tuxpan,Ver,9-Jul-94,M,6,,
875536,Cecilia Salaverri Martínez,IQA,2010,Orizaba,Ver,12-Sep-92,F,8,,
1029933,Alejandro Cárdenas Basaguren,IIS,2008,Pachuca,Hgo,24-Feb-94,M,6,,
590975,Anahí Zabaleta Rodríguez,LAF,2008,Tlaxcala,Tlax,25-Jan-93,F,8,,
361406,Humberto Urrutia González,LCPF,2009,Monterrey,NL,14-Feb-94,M,6,,
433019,Rodrigo Fernández Cárdenas,LAF,2008,Acapulco,Gro,26-Jul-92,M,10,,
1098433,Ángel Goicoetxea Goicoetxea,LCPF,2010,Los Mochis,Sin,23-Jan-95,M,4,,
394157,Ruth Etxeberría Treviño,IIS,2009,Villahermosa,Tab,8-Jul-94,F,6,,
800199,Ruth Aristegui Sánchez,IMT,2010,Monterrey,NL,26-Jan-95,F,5,,
505069,Humberto Pablo Juárez Eskauriatza,IIS,2013,Durango,Dgo,28-Apr-94,M,6,,
944820,Francisco Goicoetxea Arizmendi,LIN,2009,Saltillo,Coah,15-Oct-92,M,8,,
665554,Paola Aramburu Ochoa,IIS,2013,Mérida,Yuc,15-Jul-95,F,4,,
432444,Francisco González Sánchez,IIS,2012,Culiacán,Sin,27-Nov-94,M,4,,
954418,Carlos Ángel Cantú Fernández,LEM,2009,Pachuca,Hgo,16-May-94,M,6,,
419479,Berenice Marissa Treviño Goicoetxea,LIN,2008,Monterrey,NL,6-Jun-94,F,6,,
757423,Enrique Basaguren Cárdenas,LIN,2008,Chihuahua,Chih,18-Apr-94,M,7,,
636328,Michelle Anahí Treviño Villarreal,IMT,2012,Monterrey,NL,20-Sep-93,F,6,,
365805,Horacio Luis Ibarguengoitia Sánchez,LAF,2013,Monterrey,NL,6-Feb-94,M,6,,
1111725,Ricardo Marco Fernández Etxeberría,LEM,2008,Chihuahua,Chih,30-Dec-93,M,6,,
854019,Sandra Valeria Lozano Arizmendi,LEM,2010,Cuernavaca,Mor,4-Oct-93,F,6,,
1073650,Andrés Villarreal Zabaleta,LAF,2011,Cuernavaca,Mor,2-Feb-95,M,4,,
1033859,Alejandra Paola Sánchez Hernandez,LEM,2012,Minatitlán,Ver,8-Nov-92,F,8,,
1075233,Alexia Carmen Aramburu Ochoa,LAF,2010,Culiacán,Sin,12-Sep-93,F,6,,
1060344,Andrés Goicoetxea González,LEM,2010,Puebla,Pue,16-Apr-94,M,6,,
998074,Berenice Adelaida Urrutia Salaverri,LCPF,2012,Tampico,Tamps,15-Oct-94,F,4,,
817793,Diana Alejandra Hernandez Villarreal,LCPF,2012,Mexicali,BC,14-Jul-95,F,5,,
903080,Silvia Nidia Cárdenas Fernández,LIN,2010,Morelia,Mich,16-May-95,F,5,,
606963,Luis Garza Zabaleta,LAF,2011,Monterrey,NL,6-Oct-92,M,8,,
765884,Alberto Ochoa Juárez,LAF,2013,Monterrey,NL,17-Oct-93,M,6,,
419465,Graciela Diana Treviño Villarreal,LCPF,2009,Minatitlán,Ver,17-Mar-94,F,6,,
498271,Benito Fernando Aristegui Zárate,LAF,2008,Cuernavaca,Mor,11-Jul-95,M,4,,
1048737,Laura Ochoa Garza,LEM,2008,Villahermosa,Tab,9-Dec-94,F,4,,
838625,Nicolás César Sánchez Hernandez,LAF,2009,Tampico,Tamps,10-Apr-93,M,8,,
445724,Rodolfo Arturo Azcúnaga Ibarguengoitia,LED,2011,Monterrey,NL,13-Aug-94,M,6,,
977409,Luis Garza Navarro,LED,2008,Guanajuato,Gto,4-Jul-95,M,4,,
652549,Horacio Fernández Navarro,LAF,2011,Puebla,Pue,27-Feb-93,M,8,,
902382,Paola Alexia Ochoa Urrutia,LAF,2010,Culiacán,Sin,28-Oct-94,F,4,,
935204,Nicolás Martínez Aristegui,LAF,2008,Mérida,Yuc,9-Feb-95,M,4,,
855349,Erika Daniela Martínez Aramburu,LCPF,2013,Durango,Dgo,24-Apr-94,F,6,,
493708,Cecilia Paola Juárez Azcúnaga,IIS,2010,Monterrey,NL,9-Mar-95,F,4,,
943947,Marián Ruth Ochoa Azcúnaga,LIN,2008,Orizaba,Ver,19-Feb-95,F,4,,
543882,José Villarreal Treviño,LIN,2012,Monterrey,NL,11-Dec-93,M,6,,
1021930,Gema Treviño Martínez,LED,2008,Tlaxcala,Tlax,30-Jul-94,F,6,,
860459,Enrique Cantú Rodríguez,LCPF,2012,Cuernavaca,Mor,14-Jan-95,M,4,,
937990,Rafael Enrique Urrutia Cárdenas,LIN,2013,Monterrey,NL,9-Jun-93,M,9,,
743892,José Roberto Cantú Aristegui,IQA,2010,Pachuca,Hgo,7-May-93,M,8,,
548709,Ricardo Eskauriatza Basaguren,IIS,2013,Monterrey,NL,26-Aug-94,M,4,,
654987,Mariángela Fernández Hernandez,LCPF,2011,Zacatecas,Zac,15-Apr-95,F,4,,
637331,Paola Marissa Etxeberría Zárate,LAF,2009,Mexicali,BC,10-Jul-93,F,8,,
841730,Andrea Dafne Lozano Etxeberría,IMT,2010,Monterrey,NL,7-Feb-95,F,4,,
609079,Paola Diana Rodríguez Goicoetxea,IMT,2011,Tampico,Tamps,4-Aug-93,F,9,,
417563,Andrea Hernandez Fernández,LCPF,2008,Durango,Dgo,21-Sep-92,F,8,,
1099334,Alejandro Gabriel Etxeberría Hernandez,IMT,2012,Puebla,Pue,11-Mar-94,M,6,,
747976,Ruth Alejandra Fernández Zárate,IMT,2011,Monterrey,NL,15-Jul-93,F,8,,
971548,Nicolás Roberto Eskauriatza Lozano,IMT,2013,Los Mochis,Sin,2-Jun-94,M,6,,
939969,Elisa Elisa Lozano Martínez,LAF,2013,Saltillo,Coah,15-Jun-95,F,4,,
601798,Montserrat Hernandez Cárdenas,IQA,2008,León,Gto,20-Oct-94,F,5,,
919279,Marco Lozano Juárez,IQA,2009,Monterrey,NL,10-Jul-93,M,8,,
1059500,Paola Dafne Sánchez Juárez,LIN,2013,Monterrey,NL,24-Mar-95,F,5,,
889300,Alejandra Gabriela Lozano Arizmendi,LAF,2010,Tuxpan,Ver,21-May-93,F,9,,
991034,Enrique Navarro Basaguren,LAF,2010,Villahermosa,Tab,25-Feb-95,M,4,,
989887,Jorge García Lozano,IMT,2008,Monterrey,NL,6-May-94,M,6,,
427918,Ruth Elena Zabaleta Ibarguengoitia,LED,2008,Culiacán,Sin,20-Sep-93,F,6,,
1148561,Alejandro Gabriel Eskauriatza Rodríguez,LED,2011,Tapachula,Chis,9-Aug-92,M,10,,
983086,Francisco Manuel Fernández González,LCPF,2008,Guanajuato,Gto,19-Jun-94,M,6,,
831800,Oscar Francisco Azcúnaga Rodríguez,IIS,2012,Pachuca,Hgo,18-Sep-94,M,4,,
1056523,César Arturo Treviño Garza,LAF,2008,Tampico,Tamps,26-Apr-94,M,6,,
572333,Dafne Dafne Sánchez Martínez,LIN,2008,Tampico,Tamps,27-Apr-95,F,4,,
655049,Rafael Gerardo González Eskauriatza,IIS,2013,Manzanillo,Col,22-Apr-93,M,8,,
1111771,Sofía Treviño Cantú,LED,2012,Puebla,Pue,20-Mar-95,F,4,,
393335,Anahí Andrea Cantú Azcúnaga,IMT,2009,Durango,Dgo,8-Mar-95,F,5,,
718496,Anahí Fernández Ibarguengoitia,IIS,2011,Morelia,Mich,11-Apr-95,F,4,,
474061,Daniel García Cárdenas,IQA,2011,Hermosillo,Son,10-Jan-95,M,4,,
509362,Michelle Garza Martínez,LAF,2010,Chihuahua,Chih,10-Mar-95,F,4,,
535134,Roberto Oscar Ibarguengoitia Etxeberría,LED,2011,Monterrey,NL,29-Mar-94,M,7,,
990992,Ruth Silvia Urrutia Villarreal,LIN,2009,Villahermosa,Tab,8-Jun-95,F,4,,
468908,Rodrigo Horacio Aramburu Juárez,LED,2012,Monterrey,NL,16-Oct-93,M,6,,
423681,Enrique Manuel Arizmendi Urrutia,IMT,2012,Manzanillo,Col,14-Apr-94,M,7,,
524161,Roberto Cárdenas Cárdenas,LEM,2008,Saltillo,Coah,29-Mar-94,M,6,,
838388,Francisco Manuel Lozano González,IQA,2012,Monterrey,NL,10-Sep-92,M,8,,
463712,María Aramburu Treviño,IQA,2010,Monterrey,NL,8-Nov-94,F,4,,
756362,Antonio Arizmendi Aristegui,IQA,2009,Monterrey,NL,5-Jul-95,M,5,,
696322,Alberto Sánchez Azcúnaga,IIS,2009,Monterrey,NL,25-Feb-95,M,4,,
455756,Rodolfo Benito Garza Cárdenas,LAF,2013,Mexicali,BC,19-Apr-93,M,8,,
1037036,César Gerardo Fernández Zabaleta,IIS,2012,León,Gto,21-May-95,M,4,,
1033878,Teresa Alejandra Villarreal Arizmendi,LEM,2009,Monterrey,NL,6-Sep-94,F,4,,
747828,Francisco Garza Navarro,IIS,2013,Cuernavaca,Mor,9-Aug-93,M,8,,
380703,Benito Ochoa Garza,IIS,2012,Cuernavaca,Mor,15-Jun-95,M,4,,
1063914,Horacio Rafael Aramburu Aramburu,IQA,2012,Minatitlán,Ver,26-Jun-95,M,4,,
1037151,Valeria Goicoetxea Cantú,LCPF,2012,Villahermosa,Tab,9-Apr-94,F,6,,
766101,Rodrigo Horacio Cantú Arizmendi,IQA,2010,Tlaxcala,Tlax,17-Feb-93,M,8,,
641126,Francisco José Arizmendi Zabaleta,IIS,2008,Saltillo,Coah,10-Oct-94,M,4,,
732230,Horacio Gerardo Etxeberría Aramburu,LED,2011,Puebla,Pue,28-Dec-94,M,4,,
662592,Esther Cárdenas Aristegui,LCPF,2012,Monterrey,NL,9-Apr-94,F,6,,
897219,Benito Ibarguengoitia Juárez,IQA,2010,Guanajuato,Gto,7-Mar-93,M,8,,
1025277,Valeria Deyanira Navarro Aramburu,LED,2013,Mexicali,BC,19-May-95,F,5,,
650799,Berenice Sandra Rodríguez Salaverri,LIN,2011,Monterrey,NL,27-Nov-94,F,4,,
1007779,Pamela Elena Cantú Fernández,LCPF,2011,Mazatlán,Sin,16-Sep-94,F,4,,
966718,Ludivina Cecilia Salaverri Salaverri,IIS,2012,Monterrey,NL,26-Apr-95,F,4,,
930591,Leticia Cárdenas Ibarguengoitia,LCPF,2009,Durango,Dgo,31-Oct-93,F,6,,
429166,Giseel Catalina García Rodríguez,LIN,2009,Monterrey,NL,21-Jan-94,F,6,,
624240,Fátima Graciela González Zárate,LAF,2012,Monterrey,NL,30-May-94,F,7,,
406323,Fátima Etxeberría Urrutia,LED,2013,Tlaxcala,Tlax,27-Mar-94,F,6,,
473664,Paola Zabaleta González,LAF,2013,Culiacán,Sin,16-Sep-94,F,4,,
1141149,Nicolás Humberto Arizmendi Etxeberría,LEM,2013,Tapachula,Chis,5-Aug-94,M,7,,
1075556,Jorge Ochoa Cárdenas,IIS,2009,Cuernavaca,Mor,6-Jun-95,M,4,,
559614,Pamela Azcúnaga Cantú,LAF,2009,Monterrey,NL,26-May-94,F,6,,
679099,Erika Lozano Juárez,LAF,2010,Monterrey,NL,8-Jul-95,F,4,,
510113,Roberto Villarreal Azcúnaga,LCPF,2008,Monterrey,NL,7-Sep-94,M,4,,
775434,Oscar Carlos Eskauriatza Fernández,LED,2013,Manzanillo,Col,13-Mar-95,M,5,,
674178,Elisa Catalina Goicoetxea Sánchez,LAF,2011,León,Gto,29-May-95,F,4,,
1068712,Giseel Valeria Basaguren Zabaleta,LAF,2008,Puebla,Pue,8-Jul-93,F,8,,
944427,Humberto Ricardo Cárdenas Hernandez,IIS,2011,Tapachula,Chis,8-Mar-95,M,4,,
931303,Rodolfo Nicolás Aramburu Navarro,LEM,2012,Saltillo,Coah,16-Mar-95,M,4,,
1101858,Michelle Esther Ibarguengoitia Treviño,LEM,2010,Monterrey,NL,14-Jul-95,F,5,,
1019066,Nidia Salaverri Zabaleta,LAF,2011,Monterrey,NL,10-Jun-95,F,4,,
764524,Esther Etxeberría Zabaleta,LAF,2013,Monterrey,NL,18-Aug-93,F,6,,
845235,Fernando Cárdenas Azcúnaga,IIS,2008,Puebla,Pue,18-Oct-94,M,4,,
1017781,Elisa Ruth Arizmendi Azcúnaga,LIN,2013,Monterrey,NL,5-Apr-94,F,6,,
733245,Carlos Hernandez Salaverri,LIN,2009,Mérida,Yuc,23-Dec-94,M,5,,
878874,Michelle Ludivina Zárate Cárdenas,LAF,2010,Tlaxcala,Tlax,22-Oct-94,F,4,,
983662,Sandra González Ochoa,IQA,2013,Guanajuato,Gto,20-Mar-93,F,8,,
795927,Silvia Treviño Fernández,LAF,2011,Monterrey,NL,4-Dec-94,F,4,,
793341,Manuel Fernando Urrutia Hernandez,LAF,2013,Monterrey,NL,9-Dec-93,M,6,,
590467,Carolina Elisa Salaverri Juárez,LED,2008,Monterrey,NL,19-Sep-93,F,6,,
693569,Sandra Martínez Aristegui,IMT,2011,Mexicali,BC,20-Jul-94,F,6,,
421588,José Villarreal Cantú,LIN,2009,Monterrey,NL,13-Feb-94,M,7,,
993579,Roberto Basaguren Zárate,IMT,2012,Chihuahua,Chih,25-Jun-93,M,9,,
758999,Roberto Treviño Juárez,IQA,2009,Acapulco,Gro,26-Feb-93,M,8,,
782854,Graciela Michelle Cantú Basaguren,LED,2010,Acapulco,Gro,11-Jul-93,F,9,,
939499,Diana García Arizmendi,LAF,2008,Morelia,Mich,4-Jul-95,F,4,,
405750,David Salaverri García,LED,2012,Mérida,Yuc,23-Dec-94,M,4,,
656379,Gema Etxeberría Villarreal,LIN,2009,Monterrey,NL,16-Oct-92,F,8,,
493228,Sofía Leticia Zabaleta García,IQA,2012,Puebla,Pue,25-Dec-94,F,4,,
681903,Nicolás Ángel Garza Navarro,IQA,2011,Chihuahua,Chih,4-Feb-95,M,5,,
834453,Enrique Luis Hernandez Zárate,LED,2010,Guanajuato,Gto,8-Apr-95,M,4,,
445595,Enrique Antonio Villarreal Juárez,LAF,2011,Chihuahua,Chih,7-Aug-94,M,6,,
435493,Anahí Marián Goicoetxea Salaverri,LEM,2010,Mérida,Yuc,30-Jul-93,F,8,,
1146077,Pablo Cantú Fernández,IMT,2012,Saltillo,Coah,8-Aug-94,M,7,,
677174,Nidia Rodríguez González,LEM,2013,Villahermosa,Tab,11-Oct-94,F,4,,
989327,Adelaida Esther Goicoetxea Ochoa,LAF,2012,Monterrey,NL,12-Oct-93,F,6,,
882118,Horacio Cantú Aramburu,LAF,2009,Monterrey,NL,11-Mar-94,M,6,,
777424,Nicolás García Villarreal,IQA,2011,Los Mochis,Sin,7-Nov-94,M,4,,
